job,firm,functional_area,type
Senior Infrastructure & Cloud Services Advisor,West Monroe,"Cloud, IT, Architecture",Job
Senior Delay Analyst / Forensic Planner,CCi,"Forensic, &, Litigation",Job
Strategy and Execution Manager,Metyis,Strategy,Job
Analyst,Change Management Group,"Process, Management, Change, Management, Data, Science",Job
Senior Manager - Procurement & Value Creation,H&Z Management Consulting,"Project, Management, Process, Management, Change, Management",Job
Agile Transformation Consultant,PA Consulting,Unknown,Job
Senior Risk Technology Consultant,Zanders,"Risk, &, Compliance, IT, Strategy",Job
Business Analyst,Humatica,"Data, Science",Job
Independent Consultant,dss+,Sustainability,Job
Strategy Director,The Upside,"Strategy, Marketing, Project, Management",Job
Healthcare consultant,Develop Consulting,"Lean, &, SixSigma, Change, Management",Job
Consultant Roles (at all levels) – IT Advisory,Mason Advisory,"Digital, IT, Strategy, Data, Science, Cloud, IT, Architecture",Job
Generative Business Services Executive (GBSE) and Offer Lead,Capgemini Invent,Unknown,Job
Business Analyst,Valcon,"Project, Management, Process, Management, Data, Science",Job
Analyst,Enfuse Group,"Digital, Innovation, Process, Management",Job
Management Consultants,Collinson Grant,"Process, Management, Performance, Management, Supply, Chain, Change, Management",Job
Data Scientist,Digital Power,"Data, Science",Job
"Senior Consultant, BearingPoint Capital M&A",BearingPoint,"Mergers, &, Acquisitions",Job
Principal Consultants,Q5,"Strategy, Sales, Project, Management",Job
Sourcing & Commercial Role,Coeus Consulting,"Project, Management, IT, Strategy, IT, Architecture, Outsourcing, &, Shared, Services",Job
Internship Business Development UK,COMATCH,Sales,Internship
Senior Associate - ESG Services,Alvarez & Marsal,ESG,Job
Senior Consultant,The Sports Consultancy,"Strategy, Project, Management, Process, Management, Data, Science",Job
Independent Consultants,Fairgrove Partners,"Strategy, Mergers, &, Acquisitions",Job
Senior Analyst,CIL Management Consultants,"Strategy, Data, Science",Job
Senior Business Analyst,Airwalk Reply,"Strategy, Project, Management",Job
Associate,CF,"Strategy, Project, Management, Process, Management, Change, Management",Job
Project Controller,MIGSO-PCUBED,"Project, Management",Job
Consulting Roles,Q5,"Strategy, Process, Management, Human, Resources, Change, Management",Job
"Experienced Consultant, Mergers & Acquisitions",West Monroe,"Mergers, &, Acquisitions",Job
Technology and Architecture Roles,Coeus Consulting,"Digital, IT, Strategy, Business, Intelligence, Cloud, IT, Architecture",Job
